"Turner, Justin"	LAD	0.278	0.361	533	0.471	3	0	0	0	0	0	3B
"McMahon, Ryan"	COL	0.254	0.331	528	0.449	6	0	0	0	0	0	3B
"Suarez, Eugenio"	CIN	0.198	0.286	505	0.428	0	0	0	0	0	0	3B
"Urias, Luis"	MIL	0.249	0.345	490	0.445	5	0	0	0	0	0	3B
"Bryant, Kris"	SF	0.265	0.353	513	0.481	10	0	0	0	0	0	3B
"Chapman, Matt"	OAK	0.21	0.314	529	0.403	3	0	0	0	0	0	3B
"Donaldson, Josh"	MIN	0.247	0.352	457	0.475	0	0	0	0	0	0	3B
"Candelario, Jeimer"	DET	0.271	0.351	557	0.443	0	0	0	0	0	0	3B
"Moncada, Yoan"	CWS	0.263	0.375	520	0.412	3	0	0	0	0	0	3B
"Wisdom, Patrick"	CHC	0.231	0.305	338	0.518	4	0	0	0	0	0	3B
"Bregman, Alex"	HOU	0.27	0.355	348	0.422	1	0	0	0	0	0	3B
"Wendle, Joey"	TB	0.265	0.319	460	0.422	8	0	0	0	0	0	3B
"Flores, Wilmer"	SF	0.262	0.335	389	0.447	1	0	0	0	0	0	3B
"Garcia, Adolis"	TEX	0.243	0.286	581	0.454	16	0	0	0	0	0	CF
"Reynolds, Bryan"	PIT	0.302	0.39	559	0.522	5	0	0	0	0	0	CF
"Grichuk, Randal"	TOR	0.241	0.281	511	0.423	0	0	0	0	0	0	CF
"Taylor, Chris"	LAD	0.254	0.344	507	0.438	13	0	0	0	0	0	CF
"Naquin, Tyler"	CIN	0.27	0.333	411	0.477	5	0	0	0	0	0	CF
"Grisham, Trent"	SD	0.242	0.327	462	0.413	13	0	0	0	0	0	CF
"Hernandez, Enrique"	BOS	0.25	0.337	508	0.449	1	0	0	0	0	0	CF
"Mullins, Cedric"	BAL	0.291	0.36	602	0.518	30	0	0	0	0	0	CF
"Baddoo, Akil"	DET	0.259	0.33	413	0.436	18	0	0	0	0	0	CF
"Marte, Starling"	OAK	0.31	0.383	467	0.458	47	0	0	0	0	0	CF
"Taylor, Michael A."	KC	0.244	0.297	483	0.356	14	0	0	0	0	0	CF
"Duvall, Adam"	ATL	0.228	0.281	513	0.491	5	0	0	0	0	0	LF
"Meadows, Austin"	TB	0.234	0.315	518	0.458	4	0	0	0	0	0	LF
"Gurriel, Lourdes"	TOR	0.276	0.319	500	0.466	1	0	0	0	0	0	LF
"McCutchen, Andrew"	PHI	0.222	0.334	482	0.444	6	0	0	0	0	0	LF
"O'Neill, Tyler"	STL	0.286	0.352	482	0.56	15	0	0	0	0	0	LF
"Gallo, Joey"	NYY	0.199	0.351	498	0.458	6	0	0	0	0	0	LF
"Benintendi, Andrew"	KC	0.276	0.324	493	0.442	8	0	0	0	0	0	LF
"Hays, Austin"	BAL	0.256	0.308	488	0.461	4	0	0	0	0	0	LF
"Schwarber, Kyle"	BOS	0.266	0.374	399	0.554	1	0	0	0	0	0	LF
"Winker, Jesse"	CIN	0.305	0.394	423	0.556	1	0	0	0	0	0	LF
"Arozarena, Randy"	TB	0.274	0.356	529	0.459	20	0	0	0	0	0	LF
"Pollock, AJ"	LAD	0.297	0.355	384	0.536	9	0	0	0	0	0	LF
"Grossman, Robbie"	DET	0.239	0.357	557	0.415	20	0	0	0	0	0	LF
"Happ, Ian"	CHC	0.226	0.323	465	0.434	9	0	0	0	0	0	LF
"Peralta, David"	ARI	0.259	0.325	487	0.402	2	0	0	0	0	0	LF
"Verdugo, Alex"	BOS	0.289	0.351	544	0.426	6	0	0	0	0	0	LF
